label,url,hostname,length_of_fqdn,replica_in_fqdn,in_top_one_million,num_of_currencies_seen,num_of_duplicate_prices_seen,percent_savings,contain_emails,large_iframes,china_registered,under_a_year,china_registered_dummy,under_a_year_dummy,contain_emails_dummy
0,https://www.georgeshoes.taipei/,www.georgeshoes.taipei,22,0,0,0,0,0,0,0,0,0,0,0,0
0,https://www.gnc.com.tw/,www.gnc.com.tw,14,0,0,1,2,0.2969849246231156,0,0,0,0,1,0,0
0,https://www.genquo.com/,www.genquo.com,14,0,0,0,0,0,0,0,0,0,0,0,0
0,http://www.giordano.com/TW/zh-CHT/,www.giordano.com,16,0,0,0,0,0,0,0,0,0,0,0,0
0,http://www.giordano.com/TW/zh-CHT/,www.giordano.com,16,0,0,0,0,0,0,0,0,0,0,0,0
0,http://www.htc.com/tw/,www.htc.com,11,0,0,0,0,0,0,1,0,0,0,0,0
0,http://xn--rht299kicd.tw/,xn--rht299kicd.tw,17,0,0,0,0,0,0,0,0,0,1,0,0
0,https://hedgren.com/,hedgren.com,11,0,1,0,0,0,0,0,0,0,0,0,0
0,http://www.hannfort.com/v2/official,www.hannfort.com,16,0,0,1,9,0.5657894736842105,0,0,1,0,0,0,0
0,https://www.trplus.com.tw/,www.trplus.com.tw,17,0,0,1,4,0,0,0,0,1,1,0,0
0,http://www.hushpuppies.com.tw/,www.hushpuppies.com.tw,22,0,0,0,0,0,0,0,0,0,1,1,0
0,http://www.hushpuppies.com.tw/Web/Index.aspx,www.hushpuppies.com.tw,22,0,0,0,0,0,0,0,0,0,1,0,0
0,https://www.mayoclinic.org/,www.mayoclinic.org,18,0,0,0,0,0,0,0,0,0,1,1,0
0,http://www.innisfree.com/tw/en/,www.innisfree.com,17,0,0,0,0,0,0,0,0,0,1,0,0
0,http://www.innisfree.com/tw/en/main/index.do,www.innisfree.com,17,0,0,0,0,0,0,0,0,0,1,0,0
0,https://www.jeep.com/,www.jeep.com,12,0,0,1,1,0.9117669169246055,0,0,0,0,0,0,0
0,https://www.justherb.com.tw/,www.justherb.com.tw,19,0,0,0,0,0,0,0,0,0,1,1,0
0,http://www.johnsonfitness.com.tw/,www.johnsonfitness.com.tw,25,0,0,0,0,0,0,0,0,0,1,0,0
0,https://q92hv.iheart.com/,q92hv.iheart.com,16,0,0,1,1,0.977,0,1,0,0,0,0,0
0,https://www.jw.org/en/,www.jw.org,10,0,0,0,0,0,0,0,0,0,0,0,0
0,http://www.keywear.com.tw/,www.keywear.com.tw,18,0,0,0,0,0,0,0,0,0,1,1,0
0,https://www.kipling.com.tw/,www.kipling.com.tw,18,0,0,0,0,0,0,0,0,0,1,1,0
0,http://www.ladyparis.com.tw/,www.ladyparis.com.tw,20,0,0,0,0,0,0,0,0,0,1,1,0
0,http://www.liuli.com.tw/,www.liuli.com.tw,16,0,0,0,0,0,0,0,0,0,1,0,0
0,http://www.locknlockmall.com.tw/,www.locknlockmall.com.tw,24,0,0,1,2,0.2556278139069535,0,0,0,0,1,1,0
