url,label,hostname,length_of_fqdn,replica_in_fqdn,num_of_currencies_seen,num_of_duplicate_prices_seen,percent_savings,contain_emails,large_iframes,under_a_year,china_registered,in_top_one_million
http://www.amah.com.tw/,0,www.amah.com.tw,15,False,0.0,0.0,0.0,0.0,False,0.0,,False
http://www.amah.com.tw/amah.asp,0,www.amah.com.tw,15,False,0.0,0.0,0.0,0.0,False,,,False
http://www.amai.tw/v2/official,0,www.amai.tw,11,False,1.0,48.0,1.0,0.0,False,0.0,,False
http://www.amay-style.com/v2/official,0,www.amay-style.com,18,False,1.0,7.0,1.0,0.0,False,0.0,0.0,False
http://www.anns.tw/v2/official,0,www.anns.tw,11,False,1.0,3.0,1.0,0.0,False,0.0,,False
http://www.answer168.com/v2/official,0,www.answer168.com,17,True,1.0,2.0,1.0,0.0,False,0.0,0.0,False
http://www.aplusbio.com/,0,www.aplusbio.com,16,False,0.0,0.0,0.0,0.0,False,0.0,0.0,False
http://www.aplusbio.com/index.php?lg=T,0,www.aplusbio.com,16,False,0.0,0.0,0.0,0.0,False,0.0,0.0,False
http://www.apmart.com.tw/v2/official,0,www.apmart.com.tw,17,False,1.0,5.0,0.21794871794871698,0.0,False,,,False
http://www.arnoldpalmer-bag.com/,0,www.arnoldpalmer-bag.com,24,False,0.0,0.0,0.0,0.0,False,1.0,0.0,False
http://www.arzshop.tw/v2/official,0,www.arzshop.tw,14,False,1.0,5.0,0.6012024048096191,0.0,False,,,False
http://www.as-eweb.com/,0,www.as-eweb.com,15,False,0.0,0.0,0.0,0.0,False,0.0,0.0,False
http://www.asap.com.tw/,0,www.asap.com.tw,15,False,1.0,1.0,0.0,0.0,False,,,False
http://www.avmega.com.tw/,0,www.avmega.com.tw,17,False,0.0,0.0,0.0,0.0,False,,,False
http://www.bai-shop.com/Shop/,0,www.bai-shop.com,16,False,0.0,0.0,0.0,0.0,False,0.0,0.0,False
http://www.baibeauty.com/v2/official,0,www.baibeauty.com,17,False,1.0,21.0,0.6004,0.0,False,,,False
http://www.bbhouse.com.tw/,0,www.bbhouse.com.tw,18,False,0.0,0.0,0.0,0.0,False,,,False
http://www.bbhouse.com.tw/App/Shop/Default.aspx,0,www.bbhouse.com.tw,18,False,0.0,0.0,0.0,0.0,False,,,False
http://www.beartwo.com.tw/,0,www.beartwo.com.tw,18,False,0.0,0.0,0.0,0.0,False,0.0,,False
http://www.bemax.com.tw/,0,www.bemax.com.tw,16,False,0.0,0.0,0.0,0.0,False,0.0,,False
http://www.bemax.com.tw/App/Shop/Default.aspx,0,www.bemax.com.tw,16,False,0.0,0.0,0.0,0.0,False,,,False
http://www.bfw.com.tw/,0,www.bfw.com.tw,14,False,0.0,0.0,0.0,0.0,False,0.0,,False
http://www.bgshop.com.tw/Shop/,0,www.bgshop.com.tw,17,False,0.0,0.0,0.0,0.0,False,,,False
http://www.bigtrain.tw/v2/official,0,www.bigtrain.tw,15,False,1.0,23.0,0.0,0.0,False,0.0,,False
http://www.bioessence.com.tw/,0,www.bioessence.com.tw,21,False,0.0,0.0,0.0,0.0,False,,,False
http://www.bobsonjeans.com.tw/,0,www.bobsonjeans.com.tw,22,False,0.0,0.0,0.0,0.0,True,0.0,,False
http://www.bonjour.tw/,0,www.bonjour.tw,14,False,0.0,0.0,0.0,0.0,False,,,False
http://www.bonniehouse.com.tw/,0,www.bonniehouse.com.tw,22,False,0.0,0.0,0.0,0.0,True,0.0,,False
http://www.bonuswinner.com.tw/,0,www.bonuswinner.com.tw,22,False,0.0,0.0,0.0,0.0,False,0.0,,False
http://www.bonuswinner.com.tw/home/,0,www.bonuswinner.com.tw,22,False,0.0,0.0,0.0,0.0,False,,,False
http://www.books.com.tw/,0,www.books.com.tw,16,False,1.0,2.0,0.8169230769230771,0.0,False,0.0,,False
http://www.boy2.com.tw/Shop/index.aspx,0,www.boy2.com.tw,15,False,0.0,0.0,0.0,0.0,False,,,False
http://www.brandoff.tw/,0,www.brandoff.tw,15,False,0.0,0.0,0.0,0.0,False,0.0,,False
